,player,X,Y,xG,result,team
0,Jens Stryger Larsen,0.75,0.49700000762939456,0.022413481026887894,SavedShot,Udinese
1,Nahuel Molina,0.9359999847412109,0.33799999237060546,0.053117282688617706,Goal,Udinese
2,Rodrigo de Paul,0.700999984741211,0.47400001525878904,0.020146850496530533,BlockedShot,Udinese
3,Tolgay Arslan,0.865,0.6519999694824219,0.1025196835398674,MissedShots,Udinese
4,Stefano Okaka,0.899000015258789,0.5279999923706055,0.02364429086446762,BlockedShot,Udinese
5,Roberto Pereyra,0.8009999847412109,0.62,0.03508962690830231,MissedShots,Udinese
6,Jens Stryger Larsen,0.7730000305175782,0.5579999923706055,0.0590558797121048,MissedShots,Udinese
7,Kevin Bonifazi,0.865,0.5520000076293945,0.0569300539791584,MissedShots,Udinese
8,Rodrigo Bentancur,0.740999984741211,0.36,0.016800951212644577,BlockedShot,Juventus
9,Weston McKennie,0.9459999847412109,0.5279999923706055,0.43400445580482483,MissedShots,Juventus
10,Paulo Dybala,0.7930000305175782,0.3820000076293945,0.03271253779530525,SavedShot,Juventus
11,Matthijs de Ligt,0.8680000305175781,0.40700000762939453,0.03047754615545273,BlockedShot,Juventus
12,Cristiano Ronaldo,0.9669999694824218,0.46700000762939453,0.6311620473861694,MissedShots,Juventus
13,Paulo Dybala,0.8180000305175781,0.3270000076293945,0.023677514865994453,BlockedShot,Juventus
14,Cristiano Ronaldo,0.9009999847412109,0.2560000038146973,0.028991488739848137,MissedShots,Juventus
15,Paulo Dybala,0.9530000305175781,0.6659999847412109,0.0651465430855751,BlockedShot,Juventus
16,Cristiano Ronaldo,0.754000015258789,0.5309999847412109,0.023670440539717674,SavedShot,Juventus
17,Weston McKennie,0.8769999694824219,0.6430000305175781,0.05852578580379486,BlockedShot,Juventus
18,Dejan Kulusevski,0.8569999694824219,0.580999984741211,0.07903283834457397,BlockedShot,Juventus
19,Cristiano Ronaldo,0.730999984741211,0.500999984741211,0.052576448768377304,BlockedShot,Juventus
20,Cristiano Ronaldo,0.885,0.5,0.7612988352775574,Goal,Juventus
21,Cristiano Ronaldo,0.9680000305175781,0.4490000152587891,0.556177020072937,Goal,Juventus
